Time	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
32	-0.6009115	-0.683675	-0.649275	-0.003821	-0.174353	0.307856	0.424452	0.595468	0.363605	0.343482	0.149109	0.335269	-0.095739	-0.407003	-0.688394	-0.681373	-0.507471
33	-0.562814	-0.045369	-0.238892	-0.381493	-0.19965	0.370423	0.182973	0.695625	0.650284	0.415728	0.08561	0.335089	0.002449	-0.625651	-0.476549	-0.715958	-0.344026
34	0.255383	-0.019423	-0.092572	-0.189855	-0.4677	-0.331496	-0.649647	-0.627474	-0.362726	-0.532644	-0.139676	0.01892	0.496766	1.021544	0.656878	1.026148	0.390868
35	-0.5170165	-0.354843	-0.055522	-0.343532	-0.007503	0.202052	0.680299	0.813077	0.808469	0.406179	0.437421	-0.221273	-0.25207	-0.536944	-0.564272	-0.876416	-0.302308
36	-0.5084385	-0.24662	-0.434941	-0.125529	-0.081665	0.126539	0.274206	0.491991	0.655978	0.309674	0.238998	0.067823	-0.081944	-0.348961	-0.519711	-0.468027	-0.112113
37	-0.1228315	-0.179484	-0.097499	0.006882	0.090797	0.147489	0.578597	0.581703	0.808884	0.286233	0.155838	-0.369677	-0.490763	-0.765179	-0.815112	-0.551853	-0.392207
38	-0.275229	-0.163003	-0.23087	-0.280323	-0.269818	0.381611	0.342161	0.718974	0.581761	0.748297	0.51283	0.153699	-0.358098	-0.261029	-0.744644	-0.62944	-0.461009
39	-0.126267	0.114311	0.23848	0.017367	0.213552	0.326172	0.407434	0.771978	0.608113	0.270344	0.06863	-0.109419	-0.660974	-0.473578	-0.612124	-0.546	-0.071482
40	-0.389159	-0.563327	-0.157347	-0.075519	0.327363	0.791183	1.262098	1.262142	1.149911	0.814589	0.503116	-0.625587	-0.763618	-1.157008	-1.178237	-1.010848	-0.388348
41	-0.3696455	-0.282362	-0.00834	-0.06996	0.570619	0.994792	1.545273	1.239928	1.241462	0.457634	-0.111165	-0.594691	-1.093334	-1.520401	-1.15816	-0.927982	-0.454625
42	0.514082	0.636145	0.66584	0.216126	0.150169	-0.083792	-0.489485	-0.640548	-0.703117	-0.516052	-0.251057	-0.301935	0.068147	0.440457	0.618825	0.574708	0.558578
43	-0.5086905	-0.299778	-0.299553	-0.10967	0.176659	0.707874	0.826747	1.078941	0.877749	0.243197	-0.013251	-0.113601	-0.392777	-0.473988	-0.460795	-0.628172	-0.335792
44	0.441167	0.244421	0.331013	-0.026803	-0.15963	-0.581414	-0.486471	-0.871861	-0.539277	-0.559596	-0.372613	-0.016567	0.338812	0.40943	0.65929	0.72102	0.257026
45	0.000211	-0.30533	-0.525957	-0.449874	-0.241993	-0.003951	0.252162	0.196523	0.405122	0.410833	0.336254	-0.195055	-0.29642	-0.929617	-1.03725	-0.748409	-0.234861
46	-0.19182	-0.321734	0.079518	-0.061457	0.418453	0.372657	1.03517	1.143132	1.076069	0.689873	0.107724	-0.365261	-0.664217	-0.9545	-1.056467	-1.017525	-0.674569
47	0.7612335	0.887417	0.714659	0.623168	0.655375	0.388599	0.06003	0.015128	-0.234077	-0.374356	-0.063374	-0.487834	-0.600907	-0.218487	0.080886	0.308195	0.516732
48	-0.7481685	-0.663137	-0.634861	-0.38542	-0.180966	0.415503	0.592292	0.85237	0.920027	0.599079	0.411074	0.190215	-0.294866	-0.768681	-1.186552	-1.136162	-0.743462
49	-0.225967	-0.480196	-0.153828	-0.004136	0.206976	0.059522	0.064829	0.281541	0.463789	0.54793	0.374208	0.138786	-0.188916	-0.154839	-0.356467	-0.430847	-0.212864
50	-0.390977	-0.146274	-0.385816	-0.261877	0.241219	0.681403	0.890669	0.87392	1.264619	0.965059	0.674013	0.241672	-0.158569	-0.839433	-0.990134	-1.016907	-0.637999
51	-0.4882825	-0.596094	-0.592352	-0.48991	-0.101183	0.396171	0.623033	0.552106	0.993897	0.696207	0.833894	0.237039	-0.060035	-0.609891	-1.099902	-0.653089	-0.711826
52	-0.1663145	-0.202942	-0.332946	-0.318038	-0.274631	0.218751	0.371601	0.570581	0.48507	0.491131	0.161634	-0.009029	-0.546983	-0.546883	-0.795911	-0.502076	-0.208207
53	0.473919	0.352952	0.080114	0.203187	-0.225586	-0.386873	-0.757563	-0.846596	-1.185242	-0.762269	-0.590025	-0.432622	-0.021554	0.263312	0.206314	0.679025	0.519935
54	-0.0964985	-0.045471	-0.142208	0.100084	0.133392	0.428763	0.391265	0.734845	0.651463	0.428261	0.536732	0.263823	-0.436765	-0.485443	-0.838689	-0.590632	-0.491057
55	-0.705414	-0.645723	-0.30754	-0.670286	-0.390945	0.051945	0.484342	0.813266	0.934852	0.776145	0.551865	0.26197	0.153064	-0.161679	-0.341447	-0.269126	-0.258711
56	-0.2212475	-0.493957	-0.118206	-0.341957	-0.059103	0.160649	0.598452	0.667843	0.595673	0.68237	0.371415	0.090528	-0.22884	-0.746812	-0.242341	-0.441199	-0.087191
57	-0.139064	-0.222819	-0.026788	-0.11497	0.104138	0.293594	0.738344	0.807118	0.95736	0.842798	0.811123	0.317735	-0.034036	-0.461629	-0.619292	-0.764675	-0.413563
58	-0.2634865	-0.318213	-0.058334	-0.128834	-0.117533	0.207038	0.420842	0.439328	0.490132	0.503575	0.355927	0.450479	0.020033	-0.165314	-0.284496	-0.614883	-0.252433
59	-0.6317205	-0.861083	-0.284097	-0.692889	-0.327979	-0.047141	0.193798	0.490312	0.549496	0.31341	0.124936	0.284373	0.294887	-0.103018	0.051602	-0.353139	-0.225181
60	0.4244705	-0.314221	-0.450918	-0.17589	-0.23309	0.010198	-0.285901	-0.22111	-0.675565	-0.480205	-0.226951	0.287735	0.587951	0.383304	0.658221	0.494011	0.318938
61	-0.440383	-0.28497	-0.00992	-0.492527	-0.227413	-0.40101	0.262734	0.225029	0.536877	-0.016951	0.513407	-0.181143	0.011553	-0.40854	-0.326051	-1.130287	-0.011653
62	-0.0663245	0.016042	0.184658	0.164385	0.879397	1.048161	1.208972	1.04865	0.831828	-0.038218	-0.5841	-0.634498	-0.95516	-0.787361	-0.595956	-0.250401	0.096543
